排名1:191499,共计2494次
排名2:353560,共计2250次
排名3:1059899,共计1917次
排名4:713695,共计1754次
排名5:655904,共计1674次
排名6:67897,共计1572次
排名7:221663,共计1547次
排名8:1039919,共计1511次
排名9:454937,共计1387次
排名10:81360,共计1361次
排名11:514725,共计1356次
排名12:783997,共计1351次
排名13:823766,共计1343次
排名14:107407,共计1319次
排名15:889095,共计1272次
排名16:936203,共计1270次
排名17:770668,共计1257次
排名18:698879,共计1235次
排名19:349999,共计1218次
排名20:671759,共计1167次
排名21:186456,共计1162次
排名22:315345,共计1067次
排名23:729259,共计1021次
排名24:946001,共计1015次
排名25:181387,共计1002次
排名26:926069,共计1002次
排名27:28895,共计983次
排名28:89953,共计975次
排名29:413046,共计965次
排名30:944554,共计948次
排名31:617878,共计927次
排名32:676215,共计873次
排名33:213297,共计864次
排名34:15207,共计859次
排名35:513855,共计842次
排名36:49881,共计842次
排名37:48664,共计831次
排名38:179830,共计827次
排名39:981145,共计815次
排名40:441588,共计814次
排名41:939915,共计805次
排名42:764906,共计787次
排名43:1025501,共计778次
排名44:3001,共计765次
排名45:147751,共计763次
排名46:343432,共计758次
排名47:141675,共计757次
排名48:100215,共计745次
排名49:722301,共计742次
排名50:678194,共计732次
排名51:526229,共计730次
排名52:1100222,共计730次
排名53:952198,共计725次
排名54:846908,共计711次
排名55:1102377,共计708次
排名56:605027,共计707次
排名57:201405,共计704次
排名58:758374,共计698次
排名59:15173,共计698次
排名60:335720,共计695次
排名61:110347,共计693次
排名62:950987,共计687次
排名63:834362,共计687次
排名64:399879,共计685次
排名65:81901,共计676次
排名66:487805,共计668次
排名67:1075577,共计659次
排名68:173776,共计659次
排名69:203050,共计659次
排名70:796566,共计653次
排名71:276750,共计650次
排名72:735931,共计647次
排名73:209821,共计647次
排名74:779070,共计645次
排名75:235204,共计640次
排名76:318890,共计635次
排名77:986262,共计634次
排名78:886674,共计622次
排名79:717309,共计616次
排名80:386646,共计616次
排名81:28186,共计615次
排名82:376482,共计610次
排名83:554408,共计603次
排名84:772645,共计601次
排名85:992011,共计598次
排名86:784134,共计597次
排名87:472166,共计595次
排名88:825218,共计590次
排名89:566407,共计585次
排名90:982357,共计580次
排名91:918348,共计580次
排名92:293244,共计577次
排名93:419724,共计571次
排名94:256896,共计559次
排名95:893999,共计554次
排名96:870470,共计549次
排名97:1042707,共计549次
排名98:82431,共计548次
排名99:1093758,共计545次
排名100:1112049,共计543次
