排名1:4044,共计7248次
排名2:3491,共计3634次
排名3:1102,共计3565次
排名4:3828,共计3416次
排名5:4173,共计3333次
排名6:3734,共计3277次
排名7:2385,共计3209次
排名8:4976,共计3048次
排名9:798,共计2988次
排名10:422,共计2874次
排名11:1892,共计2779次
排名12:1393,共计2756次
排名13:4282,共计2713次
排名14:1535,共计2706次
排名15:4760,共计2643次
排名16:3760,共计2595次
排名17:4644,共计2582次
排名18:184,共计2391次
排名19:598,共计2371次
排名20:3698,共计2103次
排名21:4043,共计2070次
排名22:375,共计2061次
排名23:2537,共计1937次
排名24:1760,共计1924次
排名25:2482,共计1910次
排名26:2138,共计1833次
排名27:4659,共计1825次
排名28:606,共计1815次
排名29:1257,共计1771次
排名30:4218,共计1746次
排名31:141,共计1628次
排名32:4538,共计1623次
排名33:4918,共计1588次
排名34:420,共计1577次
排名35:3826,共计1577次
排名36:2031,共计1568次
排名37:2813,共计1545次
排名38:962,共计1493次
排名39:173,共计1484次
排名40:2223,共计1456次
排名41:4079,共计1455次
排名42:1816,共计1447次
排名43:2217,共计1433次
排名44:2403,共计1424次
排名45:66,共计1423次
排名46:742,共计1417次
排名47:2468,共计1354次
排名48:1056,共计1353次
排名49:2418,共计1337次
排名50:4845,共计1334次
排名51:2669,共计1332次
排名52:4048,共计1315次
排名53:4648,共计1251次
排名54:1861,共计1240次
排名55:4818,共计1216次
排名56:4766,共计1194次
排名57:2273,共计1194次
排名58:2336,共计1186次
排名59:3022,共计1174次
排名60:474,共计1172次
排名61:361,共计1166次
排名62:4798,共计1163次
排名63:2545,共计1159次
排名64:1087,共计1128次
排名65:4847,共计1118次
排名66:2954,共计1116次
排名67:1346,共计1100次
排名68:4871,共计1089次
排名69:3578,共计1079次
排名70:2387,共计1075次
排名71:3971,共计1069次
排名72:4605,共计1055次
排名73:1480,共计1048次
排名74:2823,共计1043次
排名75:2676,共计1042次
排名76:4127,共计1036次
排名77:1,共计1028次
排名78:2206,共计1022次
排名79:4257,共计995次
排名80:4129,共计968次
排名81:4160,共计966次
排名82:2193,共计954次
排名83:1727,共计947次
排名84:2664,共计941次
排名85:310,共计939次
排名86:1310,共计927次
排名87:1487,共计915次
排名88:1200,共计909次
排名89:3859,共计909次
排名90:2928,共计894次
排名91:3623,共计879次
排名92:3163,共计878次
排名93:4287,共计870次
排名94:1867,共计866次
排名95:2677,共计865次
排名96:2318,共计862次
排名97:3173,共计858次
排名98:4427,共计856次
排名99:786,共计835次
排名100:643,共计822次
